Geography,Cases
"Perry County, Indiana",29
"Pike County, Indiana",12
"Porter County, Indiana",430
"Posey County, Indiana",64
"Pulaski County, Indiana",30
"Putnam County, Indiana",99
"Randolph County, Indiana",53
"Ripley County, Indiana",57
"Rush County, Indiana",32
"St. Joseph County, Indiana","1,754"
"Scott County, Indiana",60
"Shelby County, Indiana",114
"Spencer County, Indiana",30
"Starke County, Indiana",23
"Steuben County, Indiana",77
"Sullivan County, Indiana",53
"Switzerland County, Indiana",17
"Tippecanoe County, Indiana",996
"Tipton County, Indiana",31
"Union County, Indiana",6
"Vanderburgh County, Indiana","1,343"
"Vermillion County, Indiana",44
"Vigo County, Indiana",678
"Wabash County, Indiana",84
"Warren County, Indiana",7
"Warrick County, Indiana",176
"Washington County, Indiana",48
"Wayne County, Indiana",325
"Wells County, Indiana",60
"White County, Indiana",82
"Whitley County, Indiana",86
"Adair County, Iowa",14
"Adams County, Iowa",11
"Allamakee County, Iowa",23
"Appanoose County, Iowa",60
"Audubon County, Iowa",7
"Benton County, Iowa",60
"Black Hawk County, Iowa","1,027"
"Boone County, Iowa",66
"Bremer County, Iowa",61
"Buchanan County, Iowa",58
"Buena Vista County, Iowa",86
"Butler County, Iowa",35
"Calhoun County, Iowa",32
"Carroll County, Iowa",66
"Cass County, Iowa",39
"Cedar County, Iowa",44
"Cerro Gordo County, Iowa",194
"Cherokee County, Iowa",27
"Chickasaw County, Iowa",30
"Clarke County, Iowa",27
"Clay County, Iowa",30
"Clayton County, Iowa",23
"Clinton County, Iowa",175
"Crawford County, Iowa",57
"Dallas County, Iowa",344
"Davis County, Iowa",10
"Decatur County, Iowa",19
"Delaware County, Iowa",43
"Des Moines County, Iowa",279
"Dickinson County, Iowa",24
"Dubuque County, Iowa",473
"Emmet County, Iowa",22
"Fayette County, Iowa",71
"Floyd County, Iowa",34
"Franklin County, Iowa",36
"Fremont County, Iowa",7
"Greene County, Iowa",32
"Grundy County, Iowa",30
"Guthrie County, Iowa",31
"Hamilton County, Iowa",48
"Hancock County, Iowa",23
"Hardin County, Iowa",54
"Harrison County, Iowa",39
"Henry County, Iowa",72
"Howard County, Iowa",12
"Humboldt County, Iowa",32
"Ida County, Iowa",17
"Iowa County, Iowa",38
"Jackson County, Iowa",41
"Jasper County, Iowa",117
"Jefferson County, Iowa",38
"Johnson County, Iowa",992
"Jones County, Iowa",59
"Keokuk County, Iowa",36
"Kossuth County, Iowa",17
"Lee County, Iowa",120
"Linn County, Iowa","1,275"
"Louisa County, Iowa",38
"Lucas County, Iowa",16
"Lyon County, Iowa",12
"Madison County, Iowa",35
"Mahaska County, Iowa",90
"Marion County, Iowa",98
"Marshall County, Iowa",197
"Mills County, Iowa",44
"Mitchell County, Iowa",14
"Monona County, Iowa",16
"Monroe County, Iowa",6
"Montgomery County, Iowa",17
"Muscatine County, Iowa",189
"O'brien County, Iowa",33
"Osceola County, Iowa",8
"Page County, Iowa",26
"Palo Alto County, Iowa",18
"Plymouth County, Iowa",56
"Pocahontas County, Iowa",19
"Polk County, Iowa","2,949"
"Pottawattamie County, Iowa",492
"Poweshiek County, Iowa",53
"Ringgold County, Iowa",10
"Sac County, Iowa",21
"Scott County, Iowa",991
"Shelby County, Iowa",19
"Sioux County, Iowa",92
"Story County, Iowa",534
"Tama County, Iowa",79
"Taylor County, Iowa",21
"Union County, Iowa",47
"Van Buren County, Iowa",13
"Wapello County, Iowa",216
"Warren County, Iowa",143
"Washington County, Iowa",66
"Wayne County, Iowa",13
"Webster County, Iowa",243
"Winnebago County, Iowa",42
"Winneshiek County, Iowa",48
"Woodbury County, Iowa",803
"Worth County, Iowa",20
"Wright County, Iowa",50
"Allen County, Kansas",33
"Anderson County, Kansas",29
"Atchison County, Kansas",46
"Barber County, Kansas",8
"Barton County, Kansas",99
"Bourbon County, Kansas",57
"Brown County, Kansas",19
"Butler County, Kansas",275
"Chase County, Kansas",2
"Chautauqua County, Kansas",7
"Cherokee County, Kansas",60
"Cheyenne County, Kansas",3
"Clark County, Kansas",2
"Clay County, Kansas",18
"Cloud County, Kansas",28
"Coffey County, Kansas",14
"Comanche County, Kansas",5
"Cowley County, Kansas",151
"Crawford County, Kansas",193
"Decatur County, Kansas",1
"Dickinson County, Kansas",23
"Doniphan County, Kansas",28
"Douglas County, Kansas",756
"Edwards County, Kansas",4
"Elk County, Kansas",5
"Ellis County, Kansas",110
"Ellsworth County, Kansas",6
"Finney County, Kansas",190
"Ford County, Kansas",166
"Franklin County, Kansas",91
"Geary County, Kansas",408
"Gove County, Kansas",3
"Graham County, Kansas",5
"Grant County, Kansas",23
"Gray County, Kansas",12
"Greeley County, Kansas",1
"Greenwood County, Kansas",7
"Hamilton County, Kansas",1
"Harper County, Kansas",15
"Harvey County, Kansas",122
"Haskell County, Kansas",7
"Hodgeman County, Kansas",2
"Jackson County, Kansas",44
"Jefferson County, Kansas",48
"Jewell County, Kansas",4
"Johnson County, Kansas","2,115"
"Kearny County, Kansas",6
"Kingman County, Kansas",8
"Kiowa County, Kansas",4
"Labette County, Kansas",77
"Lane County, Kansas",4
"Leavenworth County, Kansas",327
"Lincoln County, Kansas",3
"Linn County, Kansas",16
"Logan County, Kansas",2
"Lyon County, Kansas",189
"Mcpherson County, Kansas",77
"Marion County, Kansas",14
