Geography,Cases
"Clay County, Georgia",14.0
"Clayton County, Georgia",0.0
"Clinch County, Georgia",18.0
"Cobb County, Georgia",0.0
"Coffee County, Georgia",116.0
"Colquitt County, Georgia",89.0
"Columbia County, Georgia",204.0
"Cook County, Georgia",81.0
"Coweta County, Georgia",220.0
"Crawford County, Georgia",20.0
"Crisp County, Georgia",90.0
"Dade County, Georgia",12.0
"Dawson County, Georgia",24.0
"Decatur County, Georgia",96.0
"Dekalb County, Georgia",0.0
"Dodge County, Georgia",45.0
"Dooly County, Georgia",25.0
"Dougherty County, Georgia",546.0
"Douglas County, Georgia",443.0
"Early County, Georgia",32.0
"Echols County, Georgia",4.0
"Effingham County, Georgia",90.0
"Elbert County, Georgia",41.0
"Emanuel County, Georgia",94.0
"Evans County, Georgia",51.0
"Fannin County, Georgia",10.0
"Fayette County, Georgia",117.0
"Floyd County, Georgia",151.0
"Forsyth County, Georgia",109.0
"Franklin County, Georgia",37.0
"Fulton County, Georgia",0.0
"Gilmer County, Georgia",8.0
"Glascock County, Georgia",5.0
"Glynn County, Georgia",243.0
"Gordon County, Georgia",65.0
"Grady County, Georgia",68.0
"Greene County, Georgia",30.0
"Gwinnett County, Georgia",0.0
"Habersham County, Georgia",33.0
"Hall County, Georgia",234.0
"Hancock County, Georgia",28.0
"Haralson County, Georgia",47.0
"Harris County, Georgia",60.0
"Hart County, Georgia",47.0
"Heard County, Georgia",17.0
"Henry County, Georgia",607.0
"Houston County, Georgia",493.0
"Irwin County, Georgia",16.0
"Jackson County, Georgia",66.0
"Jasper County, Georgia",17.0
"Jeff Davis County, Georgia",39.0
"Jefferson County, Georgia",37.0
"Jenkins County, Georgia",15.0
"Johnson County, Georgia",17.0
"Jones County, Georgia",39.0
"Lamar County, Georgia",40.0
"Lanier County, Georgia",27.0
"Laurens County, Georgia",194.0
"Lee County, Georgia",58.0
"Liberty County, Georgia",247.0
"Lincoln County, Georgia",14.0
"Long County, Georgia",28.0
"Lowndes County, Georgia",708.0
"Lumpkin County, Georgia",17.0
"Mcduffie County, Georgia",82.0
"Mcintosh County, Georgia",16.0
"Macon County, Georgia",34.0
